Name,Price,Discount,Rating,Offers,Capacity,Seller Name,Highlights,Services,Description
"SanDisk E61/1050 Mbs/Window,Mac OS,Android/Portable,Typ...","₹9,098",71% off,4.4,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 13% off (price inclusive of cashback/coupon)","500 GB,1 TB,2 TB,4 TB",MTAILMODEECOM,"Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.2,1 Port","5 Years Limited Warranty,Cash on Delivery available,7 Days Service Center Replacement/Repair,GST invoice available",
ASOSS ENTERPRISES X 256 GB All in One PC's Internal Sol...,"₹1,465",70% off,4.3,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 6% off (price inclusive of cashback/coupon)",,Asoss Enterprises,"Type: SSD,Interface: SATA,Form Factor: 2.5 Inch,Capacity: 256 GB,All in One PC's","5 YEARS,Cash on Delivery available,No Returns Applicable","A solid-state drive, or SSD, is a type of computer storage device. This non-volatile storage medium uses solid-state flash memory to store persistent data. Traditional hard disc drives (HDDs) are being replaced in computers by SSDs, which perform the same basic operations as a hard drive. SSDs, on the other hand, are substantially faster."
"SanDisk E61/1050 Mbs/Window,Mac OS,Android/Portable,Typ...","₹9,098",71% off,4.4,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 13% off (price inclusive of cashback/coupon)","500 GB,1 TB,2 TB,4 TB",MTAILMODEECOM,"Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.2,1 Port","5 Years Limited Warranty,Cash on Delivery available,7 Days Service Center Replacement/Repair,GST invoice available",
"SanDisk E61/1050 Mbs/Window,Mac OS,Android/Portable,Typ...","₹9,098",71% off,4.4,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 13% off (price inclusive of cashback/coupon)","500 GB,1 TB,2 TB,4 TB",MTAILMODEECOM,"Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.2,1 Port","5 Years Limited Warranty,Cash on Delivery available,7 Days Service Center Replacement/Repair,GST invoice available",
"Consistent SSD 512 GB All in One PC's, Desktop, Laptop,...","₹2,375",73% off,4.1,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 12% off (price inclusive of cashback/coupon)",,A1PRICEA1PRODUCTS,"Type: SSD,Interface: SATA III,Form Factor: 2.5 Inch,Capacity: 512 GB,All in One PC's, Desktop, Laptop, Network Attached Storage, Servers, Surveillance Systems","Cash on Delivery available,No Returns Applicable",LAPTOP FOR SSD SPEED WORKING
"SanDisk E61/1050 Mbs/Window,Mac OS,Android/Portable,Typ...","₹9,098",71% off,4.4,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 13% off (price inclusive of cashback/coupon)","500 GB,1 TB,2 TB,4 TB",MTAILMODEECOM,"Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.2,1 Port","5 Years Limited Warranty,Cash on Delivery available,7 Days Service Center Replacement/Repair,GST invoice available",
Ant Esports Neo 512 GB All in One PC's Internal Solid S...,"₹2,465",58% off,4.2,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 39% off (price inclusive of cashback/coupon)",,RetailNet,"Type: SSD,Interface: SATA,Form Factor: 2.5 Inch,Capacity: 512 GB,All in One PC's","Manufacturer Warranty,Cash on Delivery available,No Returns Applicable,GST invoice available",
MSI SPATIUM 1 TB Desktop Internal Solid State Drive (SS...,"₹10,499",12% off,5,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 4% off (price inclusive of cashback/coupon)",,RetailNet,"Type: SSD,Interface: M.2,Form Factor: M.2,Capacity: 1 TB,Desktop","5 Years, or the coverage for the maximum TBW as stated, whichever comes first.,Cash on Delivery available,No Returns Applicable,GST invoice available",MSI SPATIUM M450 PCIe 4.0 NVMe M.2 1TB SSD
"Crucial P5 Plus 500 GB Laptop, Desktop Internal Solid S...","₹5,300",60% off,4.5,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 12% off (price inclusive of cashback/coupon)","500 GB,2 TB",MUDITINFOTECH,"Type: SSD,Interface: PCIe NVMe,Form Factor: M.2,Capacity: 500 GB,Laptop, Desktop","Cash on Delivery available,No Returns Applicable",
ASOSS GROUP X 128 GB All in One PC's Internal Solid Sta...,₹975,75% off,4,"Bank Offer,10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above,Bank Offer,Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above,Bank Offer,8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above,Special Price,Get extra 7% off (price inclusive of cashback/coupon)",,ASOSSGROUP,"Type: SSD,Interface: SATA,Form Factor: 2.5 Inch,Capacity: 128 GB,All in One PC's","5 YEARS,Cash on Delivery available,No Returns Applicable","A solid-state drive, or SSD, is a type of computer storage device. This non-volatile storage medium uses solid-state flash memory to store persistent data. Traditional hard disc drives (HDDs) are being replaced in computers by SSDs, which perform the same basic operations as a hard drive. SSDs, on the other hand, are substantially faster."
